Kernel	C	gamma	Min_Dec_Score	Max_Dec_Score	Threshold	Accuracy	Sensitivity	Specificity	F1-score	MCC	BA	Accuracy_bcv	Sensitivity_bcv	Specificity_bcv	F1-score_bcv	MCC_bcv	BA_bcv	Accuracy_blind	Sensitivity_blind	Specificity_blind	F1-score_blind	MCC_blind	BA_blind
RBF	1	0.1	-0.5	-0.4	-0.4	0.728	0.006	1.0	0.011	0.029	0.503	0.679	0.0	0.996	0.0	-0.022	0.498	0.682	0.0	1.0	0.0	0.0	0.5
RBF	1	0.01	-1.1	1.0	-0.4	0.731	0.516	0.812	0.512	0.327	0.664	0.553	0.143	0.745	0.165	-0.13	0.444	0.526	0.102	0.724	0.12	-0.196	0.413
RBF	1	0.001	-2.0	1.3	-0.2	0.636	0.682	0.619	0.507	0.273	0.651	0.495	0.4	0.539	0.33	-0.058	0.47	0.487	0.306	0.571	0.275	-0.117	0.439
RBF	1	0.0001	-1.2	1.0	0.4	0.695	0.259	0.859	0.306	0.17	0.559	0.613	0.241	0.787	0.28	0.031	0.514	0.617	0.245	0.79	0.289	0.04	0.518
RBF	1	1e-05	-1.0	-0.3	-0.7	0.535	0.506	0.547	0.287	0.093	0.526	0.525	0.535	0.52	0.357	0.071	0.527	0.318	1.0	0.0	0.483	0.0	0.5
RBF	5	0.1	-0.5	-0.4	-0.4	0.728	0.006	1.0	0.011	0.029	0.503	0.679	0.0	0.996	0.0	-0.022	0.498	0.682	0.0	1.0	0.0	0.0	0.5
RBF	5	0.01	-1.4	1.0	-0.4	0.753	0.494	0.851	0.522	0.36	0.673	0.551	0.106	0.758	0.13	-0.159	0.432	0.532	0.102	0.733	0.122	-0.187	0.418
RBF	5	0.001	-2.0	1.7	-0.4	0.668	0.797	0.619	0.567	0.372	0.708	0.438	0.604	0.36	0.405	-0.034	0.482	0.422	0.592	0.343	0.395	-0.063	0.467
RBF	5	0.0001	-1.8	1.4	0.3	0.696	0.435	0.795	0.431	0.235	0.615	0.596	0.298	0.735	0.319	0.034	0.517	0.591	0.306	0.724	0.323	0.031	0.515
RBF	5	1e-05	-1.2	1.1	0.3	0.648	0.363	0.756	0.333	0.16	0.56	0.586	0.355	0.693	0.334	0.054	0.524	0.61	0.286	0.762	0.318	0.051	0.524
RBF	10	0.1	-0.5	-0.4	-0.4	0.728	0.006	1.0	0.011	0.029	0.503	0.679	0.0	0.996	0.0	-0.022	0.498	0.682	0.0	1.0	0.0	0.0	0.5
RBF	10	0.01	-1.4	1.0	-0.4	0.753	0.494	0.851	0.522	0.36	0.673	0.551	0.106	0.758	0.13	-0.159	0.432	0.532	0.102	0.733	0.122	-0.187	0.418
RBF	10	0.001	-2.4	1.7	0.1	0.774	0.456	0.895	0.526	0.398	0.675	0.583	0.184	0.77	0.215	-0.055	0.477	0.597	0.184	0.79	0.225	-0.03	0.487
RBF	10	0.0001	-2.1	1.7	0.2	0.716	0.468	0.81	0.467	0.28	0.639	0.592	0.318	0.72	0.332	0.039	0.519	0.61	0.306	0.752	0.333	0.062	0.529
RBF	10	1e-05	-1.4	1.5	0.4	0.698	0.303	0.847	0.345	0.19	0.575	0.608	0.241	0.779	0.275	0.021	0.51	0.61	0.204	0.8	0.25	0.005	0.502
